CLIENTE;NOMBRE;VKORG;VTWEG;SPART;PARVW;INTERLOCUTOR;NOMBRE_INTERLOCUTOR;FECHA_CREACION;USUARIO_CREACION
0000001648;ACCION FUTURA;COTT;TT;SO;AG;0000001648;ACCION FUTURA;20040324;VTASCAFIVER
0000001648;ACCION FUTURA;COTT;TT;SO;RE;0000001648;ACCION FUTURA;20040324;VTASCAFIVER
0000001648;ACCION FUTURA;COTT;TT;SO;RG;0000001648;ACCION FUTURA;20040324;VTASCAFIVER
0000001648;ACCION FUTURA;COTT;TT;SO;WE;0000001648;ACCION FUTURA;20040324;VTASCAFIVER
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;IN;AG;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;IN;RE;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;IN;RG;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;IN;WE;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;IN;WE;9000004008;abarrotes orquidia valle alegre;20260720;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;AG;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;RE;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;RG;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;0000007214;RUTA TRADICIONAL ORIZABA;20200610;AUTOSERVICIO
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000002387;AB CHARO;20260305;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000227;AB JUNY;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000224;AB AMELIA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000609;AB LORE;20260302;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000226;AB JIRALIZ;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000225;AB EMMANUEL;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000228;CHILES Y SEMILLAS LA GUERA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000229;AB CHELY;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000230;AB CONTRERAS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000231;AB EL PUMA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000232;AB ELY;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000233;AB LA BENDICION;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000234;AB LA TIENDITA VALLE ALEGRE;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000235;AB LOS ANGELITOS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000236;AB LOS CHAVOS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000237;AB LOS PERICOS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000238;AB NAYE;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000239;AB PATY;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000240;AB TONITA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000241;AB VALLE ALEGRE;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000242;AB VIVEROS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000243;YAILIN LUNES;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000244;AB YUYIS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000245;CREMERIA SAN JUAN;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000246;FARMACIA GUADALUPANA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000247;PAPELERIA GEO;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000248;SC RAMIREZ;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000249;SC SAN JUDITAS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000250;AB ORLANDO;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000251;SC EL GUAYABAL;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000252;AB SEVILLA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000253;ABA VALLE ALEGRE;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000254;AB LA VISTA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000255;CREMERIA JOSHENADAS;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000256;AB NAYE;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000257;AB TONITA;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000258;AIME;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000259;SC CAFETALES;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000260;MISCELANEA TERMINAL;20260301;PORTAL
0000007214;RUTA TRADICIONAL ORIZABA;COTT;TT;SO;WE;9000000261;CARLITOS;20260301;PORTAL
